a_missing,b_wrong,c_incitement,d_bad,e_none,post_id
1,0,0,0,0,690b28d4000000000700e03a
1,0,0,0,0,690327e60000000004016c67
1,0,0,1,0,690c85e50000000004002aae
0,0,0,1,0,690de3210000000007032425
1,0,0,0,0,69046e7e0000000007016bda
1,0,0,0,0,6910519a0000000007039581
1,0,0,0,0,69035465000000000400262e
0,0,1,0,0,647e8dcc000000001303783a
1,0,0,0,0,690ad5750000000004015742
1,0,0,0,0,690d898f00000000030395e7
0,0,0,1,0,69058de7000000000300ca57
0,0,1,0,0,65f2c3a8000000001203f8ba
0,0,0,1,0,683dcf32000000000303c4b9
1,0,0,0,0,64bbabf8000000000103ef43
1,0,0,0,0,64c40f2700000000100321a2
1,0,0,0,0,64ad3419000000001e018bf1
1,0,0,0,0,64ad871e000000002f024e0a
1,0,0,0,0,640aa99200000000130320b3
1,0,0,0,0,64508d8100000000110103ea
1,0,0,0,0,647709f0000000000703b22a
1,0,0,0,0,6407535a000000002701112f
1,0,0,0,0,6425e61e0000000027002482
1,0,0,0,0,64561485000000001301398b
1,0,0,0,0,696511470000000009039e61
1,0,0,0,0,69685176000000000c034e06
0,0,1,0,0,696aef3a000000000a02ea43
1,0,0,0,0,696e2715000000000d008adf
1,0,0,0,0,696400e2000000000a032055
1,0,0,0,0,6971e921000000000e00ee66
0,0,0,1,0,694ce165000000001e029f8e
1,0,0,0,0,69629339000000001a02d225
0,0,0,1,0,69700f7f000000001a024966
0,0,0,1,0,696f6b99000000000e00ef4d
0,0,0,1,0,697044fd000000001a01f5eb
1,0,0,0,0,6960f804000000001a027746
1,0,0,0,0,696f49e4000000002202022e
0,0,1,0,0,6960b3bc0000000021031ab6
1,0,0,0,0,6970b3d300000000210283ba
1,0,0,0,0,64b64abc0000000012013644
0,0,0,1,0,69719aee0000000022020439
0,0,0,1,0,6971c1eb0000000021030157
1,0,0,0,0,696f9b990000000022021fc0
1,0,0,0,0,696a223a000000001a02116d
1,0,0,0,0,69612193000000001a0331d5
0,0,1,0,0,696b4d6a000000000b01213e
0,0,0,1,0,6970b576000000002103e19b
0,0,0,1,0,6959c360000000001d03ba89
1,0,0,0,0,696f78d9000000001a02cda9
0,1,0,0,0,69707b34000000000a0291d0
1,0,0,0,0,6970c77a00000000220393ed
1,0,0,0,0,696a192e000000000b00936c
1,0,0,0,0,6971dd1d000000000a03cfc0
0,0,1,1,0,69637cb2000000002102bb1b
0,0,0,1,0,6970b1bb000000000b008070
1,0,0,0,0,69627aa0000000001a020b2e
1,0,0,0,0,696f719f000000001a01c66e
1,0,0,0,0,6965c747000000000e03e106
0,0,0,1,0,6966e750000000001a0238a1
0,0,1,0,0,697207fd000000001a01ecca
0,0,0,1,0,696f99ab000000001a025415
0,1,0,0,0,697056e80000000022031215
1,0,0,0,0,696d3b9a000000000a02f91d
1,0,0,0,0,697043b4000000000c03400a
0,0,0,1,0,69703673000000000c037c2d
1,0,0,0,0,69710114000000000a03c05d
1,0,0,0,0,696cdfa3000000002200805c
1,0,0,1,0,696779f2000000000e00fe61
1,0,0,0,0,696b8a8e0000000022030c6f
1,0,0,0,0,69608597000000001a01c8a9
1,0,1,1,0,69621779000000001a02dcb3
1,0,0,0,0,696a4aa3000000000e00cb41
0,0,1,1,0,696f8299000000000d00a0dd
1,0,0,0,0,6971b087000000000e00d6c0
1,0,0,1,0,69609eaa000000001a022d74
1,0,0,0,0,69718e570000000022038ecb
1,0,0,0,0,696c7cec000000002103c458
1,0,0,0,0,696a661c000000000a029269
0,1,0,0,0,697185a2000000001a0332fb
0,0,1,1,0,64aa74df000000001e01af64
0,0,0,1,0,64a5313c000000002f025114
1,0,0,0,0,647c582a000000001203e00f
1,0,0,0,0,6971cb09000000001a033528
1,0,0,0,0,642f83be000000002702941f
0,0,0,1,0,6970b1c4000000000e03fb0c
0,0,1,1,0,647dde53000000002701182a
0,0,0,1,0,6971979b0000000022038453
0,0,1,1,0,6968617e000000002202dc14
1,0,0,0,0,696b68b600000000220206de
1,0,0,0,0,696f5487000000000e03f6d6
0,1,0,0,0,696fa651000000001a028217
0,0,0,1,0,64c4dac2000000001201c991
0,0,0,1,0,6970a91b000000001a0237cd
0,0,0,1,0,6971b0fe000000000a03e346
1,0,0,0,0,64301085000000000800fc8a
1,0,0,0,0,6970bd1b000000000b00bfd8
0,0,0,1,0,6968b85b000000001a02555f
0,0,1,1,0,696f9b32000000001a037436
0,1,0,0,0,69708276000000000b012abd
1,0,0,0,0,6971d6f7000000001a02b60f
1,0,0,0,0,6971c70f0000000009038253
0,1,0,0,0,6970b129000000002202c7a0
1,0,0,0,0,696da1650000000021033891
0,1,0,0,0,6970a0c40000000022008a1e
1,0,0,0,0,6968b6b3000000002102b01a
1,0,0,0,0,696f34a0000000001a020f03
1,0,0,0,0,64771c2800000000110131d3
1,0,0,0,0,645e64c50000000027029381
1,0,0,0,0,694fbacc000000001e029af0
1,0,0,0,0,6445169500000000130373a4
1,0,0,0,0,69652bfd000000002200acae
1,0,0,0,0,64688b7f000000001300c727
1,0,0,0,0,6489c89b000000000800d98f
1,0,0,0,0,64236f16000000002702a0f7
1,0,0,0,0,696496c3000000000e03e46d
1,0,0,0,0,64a6e5100000000016024f50
1,0,0,0,0,6971c5df0000000022009363
1,0,0,0,0,697228bc000000001a0258f4
0,0,0,1,0,697160e0000000001a02bd84
1,0,0,0,0,6970e019000000001a03002f
0,0,0,1,0,696b574e000000000a0337ca
1,0,0,0,0,696f5d7b0000000022032cdd
1,0,0,0,0,696cb016000000000a02887d
0,0,1,1,0,6970c588000000002102a960
0,1,0,1,0,696f2cd30000000022039ea8
1,0,0,0,0,696243800000000022033791
1,0,0,0,0,6960ba9b000000000a033827
1,0,0,0,0,6960ee90000000000a03c075
0,0,0,1,0,69720804000000001a020c12
0,0,1,0,0,696f620700000000220307cb
1,0,0,0,0,69718d5d000000002200a8e1
0,0,0,1,0,6965937d00000000090385ec
0,0,0,1,0,696e4fe2000000000b009e56
1,0,1,0,0,6970302a000000002203abd1
1,0,0,0,0,69704f2b000000000a0302db
1,0,0,0,0,697049ae0000000022030b36
0,0,0,1,0,6970f355000000000b01236a
0,0,1,0,0,696ba9a70000000022020d9b
1,0,0,0,0,696df738000000000a0315be
1,0,0,0,0,697089a9000000002200b291
1,0,0,0,0,69706394000000000a02e45d
0,0,1,0,0,647b0543000000001203278e
1,0,0,0,0,6970bda60000000022032e62
0,1,0,0,0,644252450000000027010b85
1,0,0,0,0,696dd6e2000000000b00abe7
1,0,0,1,0,695c6e29000000000b00a40d
0,0,0,1,0,69694880000000000e03d3a8
1,0,0,0,0,69709f19000000000a02f84d
1,0,0,0,0,69636b53000000000e03e644
1,0,0,0,0,696b0fe50000000021032994
0,0,0,1,0,648003050000000011011068
1,0,0,0,0,696395bf000000000d00a901
0,0,1,0,0,69718b97000000002103f75e
0,0,0,1,0,69721886000000001a02312b
1,0,0,0,0,64b38776000000002303652c
1,0,0,0,0,64bbbe1b000000000c035749
1,0,0,0,0,69647cee000000001a023adb
0,0,0,1,0,696f609d000000002202135a
1,0,0,0,0,64bf3ff8000000001700f226
1,0,0,0,0,647c19e0000000000800f0eb
1,0,0,0,0,6411c6ed000000001203eee8
1,0,0,0,0,640b2a29000000002702992f
1,0,0,0,0,641c078b000000001303d8f8
0,0,0,1,0,6961014e000000000e00df5a
1,0,0,0,0,69722024000000000a03d80a
0,0,0,1,0,69721509000000000a030989
1,0,0,0,0,64748f0a00000000270280e0
0,0,0,1,0,646dec65000000001300852a
1,0,0,0,0,69607da7000000000b00871f
1,0,0,0,0,696d7ce8000000000e03e9e2
0,0,0,1,0,696db618000000000a02f086
1,0,0,0,0,6482a67a0000000027013b2f
0,0,0,1,0,696cb50f000000001a01fe9d
1,0,0,0,0,6971f1f2000000000b011ff3
0,0,0,1,0,6969e79b000000001a03556e
1,0,0,0,0,696f7c1e000000001a022521
0,0,0,1,0,641fdc98000000000703a5e0
1,0,0,0,0,6441267d000000002702ae01
1,0,0,0,0,696242d200000000210337ee
1,0,0,0,0,640d649400000000130087a1
1,0,0,0,0,64b287ad000000001e019897
1,0,0,0,0,64425e82000000001300855a
1,0,0,0,0,69718074000000001a026294
0,0,1,0,0,6970551d000000000e03fd62
1,0,0,0,0,697056c80000000022031166
1,0,0,1,0,69719575000000001a030d14
1,0,0,0,0,696d0c60000000001a036c5b
0,0,1,0,0,6970830d000000001a02eed9
1,0,0,0,0,696cf78d000000000a0332e0
1,0,0,0,0,6970a2ab000000002202ee9d
1,0,0,0,0,6971cd97000000001a020d7e
1,0,0,0,0,6966164d000000001a031ff0
1,0,0,0,0,696cd775000000000e03cf85
0,0,0,1,0,696e49c800000000210305af
1,0,0,0,0,6971d947000000000a029607
1,0,0,0,0,69719b04000000000b010a52
1,0,0,0,0,696cad4f000000002202198f
0,0,1,0,0,6970d78f000000001a036bae
0,0,1,0,0,69704e8e000000001a02c768
0,0,0,1,0,6971a592000000000b013f7f
0,0,1,0,0,697201c90000000009039e4a
1,0,0,0,0,6970adc9000000000a028259
1,0,0,0,0,696b224000000000220304e7
0,0,1,0,0,69704d12000000002202c02b
1,0,0,0,0,646742930000000027029288
1,0,0,0,0,69687dce0000000022021c5a
1,0,0,0,0,6967be7a000000002202fb67
1,0,0,0,0,696e3d90000000000c03661c
0,0,0,1,0,696f1bf2000000001a027555
0,0,0,1,0,69709824000000000a03d8ba
0,0,0,1,0,69664815000000001a031aab
1,0,0,0,0,647943b1000000001300c3ca
1,0,0,0,0,64b8ff4c000000001201c05d
0,0,0,1,0,64bd37ab000000001700d8f3
0,0,0,1,0,64c4db59000000000b028697
0,0,0,1,0,64c5e199000000000a01b4bb
0,0,1,0,0,64b7bc7e000000001503232f
0,0,1,0,0,64b5f1ac000000003102ec6a
0,0,1,0,0,64bbf975000000000b02bc0e
0,0,0,1,0,64c09c28000000000a01841f
1,0,0,0,0,64a29d21000000001c01a10e
1,0,0,0,0,64265eb3000000001300d974
0,0,0,1,0,641adbf3000000001303f1e4
0,0,0,1,0,641ee43c00000000130025b2
0,0,0,1,0,6422be3f0000000013009a64
0,0,1,1,0,640b4bb5000000001303547e
0,0,0,1,0,6411cbdb00000000140262e1
0,0,1,0,0,645a35610000000013017a3b
1,0,0,0,0,6438f5660000000027028a85
1,0,0,0,0,6425a1d40000000013010bbf
1,0,0,0,0,641c0cd5000000001303ee42
0,0,0,1,0,6454f40900000000130339bc
0,0,0,1,0,6459ccae000000002701165e
0,0,0,1,0,6438b18a000000001300682c
0,0,1,1,0,647347fe000000001303f974
1,0,0,0,0,6464abe100000000270020f3
1,0,0,0,0,645de23900000000270035cb
0,1,0,0,0,64a7a1840000000023034dd5
1,0,0,0,0,647c95220000000013003a41
0,0,0,1,0,6453212f0000000027012735
1,0,0,0,0,6447b5cb0000000014025f56
1,0,0,0,0,696eed79000000000e00dffe
1,0,0,0,0,6962416e000000000a029e72
1,0,0,0,0,696f588d000000001a033ee4
1,0,0,0,0,6962eed9000000001a037a88
1,0,0,0,0,69623fce000000002202c81e
0,0,0,1,0,69606a33000000000a03ccea
0,0,0,1,0,69646a59000000001a0215f0
1,0,0,0,0,644fa9950000000012033342
1,0,0,0,0,6458ad1400000000110129dd
0,0,0,1,0,643e28480000000013011269
1,0,0,0,0,643b87ea00000000130352ac
0,0,0,1,0,643a879b000000001300ca4c
1,0,0,0,0,64c391c800000000100304c6
0,0,0,1,0,697058a5000000000b008955
1,0,0,0,0,696f552d000000001a026ebe
1,0,0,0,0,696dd46a000000000d00b0cb
1,0,0,0,0,69635f140000000022033614
0,1,0,1,0,696ef272000000002202dafa
1,0,0,0,0,696ef072000000001a0336d7
1,0,0,0,0,696e127f000000001a02f354
0,0,0,1,0,696e0c6b000000001a0366e4
0,0,0,1,0,696f5561000000000a02ab4c
1,0,0,0,0,696f7b3f000000000e03eb54
1,0,0,0,0,696f26f7000000002102a639
1,0,0,0,0,696f27e2000000001a02b49a
1,0,0,0,0,696ef57e000000000a03e814
1,0,0,0,0,696e110f000000000c036734
1,0,0,0,0,695c2f61000000000d009e78
0,0,0,1,0,64a4070e000000002301d379
0,0,1,0,0,64ad5371000000001c00dac1
0,0,0,1,0,64a67981000000003500afbb
0,0,0,1,0,6409c2ce000000002700342a
0,0,1,1,0,69632818000000000e00e149
1,0,0,0,0,645e05e00000000013017683
0,0,1,0,0,6460c0b70000000014024f6c
0,0,1,0,0,64871e26000000000800f0d9
1,0,0,0,0,643d63590000000013035323
1,0,0,0,0,6447d7d50000000027012801
1,0,0,0,0,64196ac6000000000800eba4
0,0,1,1,0,643c2b5400000000130113c7
1,0,0,0,0,64a2dab7000000002f02b2c3
1,0,0,0,0,6464aa360000000027012522
0,0,0,1,0,6489bc040000000027011357
0,0,0,1,0,6479e89e0000000013007176
1,0,0,0,0,648006890000000013011294
0,0,0,1,0,64b1c9e9000000002b038a48
1,0,0,0,0,6438d39b00000000130304c2
0,0,0,1,0,645790b2000000001301442e
1,0,0,0,0,6433e59b0000000013016863
0,0,0,1,0,6449ecf5000000001303129c
0,0,0,1,0,64c3ce62000000000b0296c3
0,0,1,0,0,64afb464000000003100b65a
0,0,0,1,0,643a2c1f000000001301369e
0,1,0,0,0,6470075400000000270118bc
0,0,0,1,0,645251a1000000001203fbda
0,0,1,0,0,696423ce000000001a022aec
1,0,0,0,0,6970d174000000000a02da3e
1,0,0,0,0,696c9bb2000000000e03cd8b
1,0,0,0,0,696e557b000000001a023bc0
1,0,0,0,0,696c8d24000000000b009a77
0,0,1,1,0,694bb03f000000001e025226
0,0,0,1,0,69629219000000001a01f2dd
0,0,0,1,0,6955efe1000000001e007863
1,0,0,0,0,694a0e95000000001e00ad02
1,0,0,0,0,69620f2b000000001a02e4a3
1,0,0,0,0,694bc94100000000190258f2
0,0,0,1,0,695a2307000000001e039e4b
0,0,0,1,0,6967a24f000000000903b424
0,0,1,1,0,69623695000000000a02e52e
0,0,0,1,0,695ce7af000000002202e5b5
1,0,0,0,0,6957b78b000000001e02bd7b
1,0,0,0,0,695bcda10000000009038429
1,0,0,0,0,695b50ba00000000210304bc
1,0,0,0,0,696245c3000000000a030219
1,0,0,0,0,695906e1000000002200aa2a
0,0,0,1,0,695260e2000000001f004130
1,0,1,1,0,69073f3d00000000040229af
1,0,0,0,0,69579f310000000022038b64
0,0,0,1,0,69580683000000001e00a423
1,0,0,0,0,696cb649000000002103dd85
0,0,0,1,0,694e66e600000000220329e2
